UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A027,T1,Common,1.0,0.6751755,-0.34756047,0.7716821239368099,0.6536530456412364,-0.11802907829557352
A027,T2,Common,28.26,0.08495351,-0.4481119,0.16141061984613636,0.49067013991468533,0.32925952006854897
A027,T3,Common,74.58,0.060664784,-1.080568,0.13629681927685183,-0.5344722466479138,-0.6707690659247656
A027,T4,Common,145.92,-0.79506606,-1.1325653,-0.7485027275252956,-0.6187542011057987,0.12974852641949686
A027,T1,Congruent,1.0,0.517701,-0.2076202,0.6079972239769545,0.9130577711207554,0.3050605471438008
A027,T2,Congruent,28.26,0.7571614,-0.46383077,0.8561276117259478,0.48930962766709485,-0.3668179840588529
A027,T3,Congruent,74.58,-0.47441643,-0.91895676,-0.42004115981608414,-0.263425879302853,0.15661528051323115
A027,T4,Congruent,145.92,-0.8685989,-1.7252904,-0.8284955394335736,-1.597025749730651,-0.7685302102970775
A027,T1,Incongruent,1.0,0.5201564,-0.22527617,0.6140852159006984,0.878187648154468,0.2641024322537696
A027,T2,Incongruent,28.26,0.010671567,-0.3967447,0.08381918799892353,0.5950928569326318,0.5112736689337083
A027,T3,Incongruent,74.58,-0.40883735,-1.1700761,-0.35280092839807503,-0.6816784038246061,-0.32887747542653106
A027,T4,Incongruent,145.92,-1.0561506,-1.2431318,-1.026517207378432,-0.8022934702689567,0.2242237371094754
A028,T1,Common,1.0,1.365022,-0.054767232,1.4849623274525867,1.128238963577218,-0.3567233638753686
A028,T2,Common,22.82,0.7000891,-0.33236355,0.7974420251297719,0.6782855961648235,-0.11915642896494838
A028,T3,Common,72.26,-0.13056406,-0.65912193,-0.06142796263681557,0.1486458859896372,0.21007384862645279
A028,T4,Common,138.91,-0.24690272,-0.63351375,-0.18171858247985712,0.19015395391834342,0.3718725363982005
A028,T1,Congruent,1.0,1.2956499,0.19452086,1.4141128163918286,1.5781611959384245,0.1640483795465959
A028,T2,Congruent,22.82,0.0824405,-0.57829607,0.15697752870867376,0.29999480601525463,0.14301727730658087
A028,T3,Congruent,72.26,-0.16386057,-0.7359198,-0.09824120475244094,0.0393000073902758,0.13754121214271675
A028,T4,Congruent,138.91,-0.2888496,-0.8922511,-0.22775563168178095,-0.2192572337832528,0.00849839789852816
A028,T1,Incongruent,1.0,1.16972,0.027775345,1.290143633603542,1.2959760656984591,0.005832432094917239
A028,T2,Incongruent,22.82,0.6656244,-0.25811836,0.765486658201956,0.8239651449270952,0.05847848672513911
A028,T3,Incongruent,72.26,-0.24938773,-0.53546923,-0.1868475747918698,0.3660584571060435,0.5529060318979133
A028,T4,Incongruent,138.91,-0.45286596,-1.0116268,-0.3986254056475016,-0.42007838017743254,-0.021452974529930946
A029,T1,Common,1.0,1.5517049,0.13776043,1.677986742166462,1.4403053139563156,-0.23768142821014648
A029,T2,Common,28.43,0.7344401,-0.30871353,0.8329599095735872,0.7166197002157658,-0.11634020935782141
A029,T3,Common,93.26,0.53695965,-0.42374143,0.6287711580667126,0.5301720148708321,-0.09859914319588048
A029,T4,Common,143.14,0.37976265,-0.3897824,0.46623426304431326,0.5852159002243782,0.11898163718006494
A029,T1,Congruent,1.0,1.394524,0.08558736,1.516566786949519,1.3979954502983858,-0.11857133665113317
A029,T2,Congruent,28.43,1.1095906,-0.24591371,1.2213169877149106,0.8497239134706821,-0.3715930742442285
A029,T3,Congruent,93.26,0.69072795,-0.21559593,0.7872888487906008,0.8998666651480874,0.11257781635748665
A029,T4,Congruent,143.14,0.9098431,-0.23756483,1.0143373592381688,0.8635321743863711,-0.15080518485179772
A029,T1,Incongruent,1.0,1.5976703,0.053527508,1.7355494455570706,1.338492924086384,-0.3970565214706865
A029,T2,Incongruent,28.43,1.2298656,-0.047662362,1.3527424910022448,1.1714283022492766,-0.18131418875296812
A029,T3,Incongruent,93.26,0.6873079,-0.377799,0.7880545987396641,0.6263722350555535,-0.1616823636841106
A029,T4,Incongruent,143.14,0.2947379,-0.76733285,0.37947220120752845,-0.016748715124564332,-0.3962209163320928
A030,T1,Common,1.0,-0.000991546,-0.56138754,0.07254605789669567,0.30706267699511536,0.2345166190984197
A030,T2,Common,32.95,0.46248072,-0.32249522,0.5517622200666831,0.6942810832311784,0.14251886316449536
A030,T3,Common,71.93,-0.19670881,-0.6964402,-0.1298196131583449,0.08815703882666821,0.2179766519850131
A030,T4,Common,150.46,0.2379243,-0.47005928,0.31957774285563073,0.45509582967877127,0.13551808682314054
A030,T1,Congruent,1.0,-0.02795182,-0.7866119,0.04258830541283472,-0.04453994996498599,-0.08712825537782071
A030,T2,Congruent,32.95,0.76113397,-0.33011407,0.8602440139973047,0.7104644511146603,-0.14977956288264438
