composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A047_T1,A047,T1,1.0,0.5707830419817841,0.01901698170964925
A047_T2,A047,T2,23.46,0.02422354486676662,0.029110597520270953
A047_T3,A047,T3,76.85,-0.43303897213278864,0.014676347926178055
A047_T4,A047,T4,144.22,-0.7036843773759343,0.03573425979734715
A048_T1,A048,T1,1.0,0.8316864579372056,0.013256469744122144
A048_T2,A048,T2,23.91,0.3019504095802545,0.02416058819478484
A048_T3,A048,T3,81.15,-0.1475279853749119,0.014389990411682579
A048_T4,A048,T4,146.3,-0.38458978555082374,0.021545154866509545
A049_T1,A049,T1,1.0,1.0501208174281613,0.04688183606257834
A049_T2,A049,T2,27.12,0.42101219454540034,0.02337645481480126
A049_T3,A049,T3,111.38,-0.15697914000151245,0.02501162076711979
A049_T4,A049,T4,168.86,-0.33626274308154697,0.033337227272120115
A050_T1,A050,T1,1.0,0.0015106321008668227,0.025989832046068216
A050_T2,A050,T2,24.73,-0.7037798851068271,0.04322891747741924
A050_T3,A050,T3,93.39,-1.3633876381533,0.019788644900830998
A050_T4,A050,T4,148.69,-1.6246827497331928,0.041166918204946314
A051_T1,A051,T1,1.0,1.6260365121759637,0.025668860700616723
A051_T2,A051,T2,17.16,1.1082835308539825,0.034596177917890956
A051_T3,A051,T3,65.63,0.5369069900289571,0.02779386822547436
A051_T4,A051,T4,146.99,0.13392609604019584,0.027653025059067318
A052_T1,A052,T1,1.0,0.9220299728278885,0.01760854466088466
A052_T2,A052,T2,31.76,0.35637263566773675,0.019446795683919434
A052_T3,A052,T3,80.98,0.046121398036666525,0.014748670655847613
A052_T4,A052,T4,153.27,-0.16997553574613306,0.0255742412622278
A053_T1,A053,T1,1.0,0.6186229191822095,0.025717329452869857
A053_T2,A053,T2,32.71,-0.007504927808731171,0.018548939867638874
A053_T3,A053,T3,78.28,-0.32515174107830647,0.015320556624424674
A053_T4,A053,T4,148.9,-0.5679795250176801,0.024252793601617945
A054_T1,A054,T1,1.0,1.480161868925577,0.016423157151690362
A054_T2,A054,T2,16.9,1.1392095657446946,0.02251983660441192
A054_T3,A054,T3,72.83,0.7391016353471194,0.017971078351285707
A054_T4,A054,T4,136.83,0.5561411069874574,0.024497665506466065
A055_T1,A055,T1,1.0,0.581505431586817,0.03763003816954859
